scenario,method,run,selective_rmse,violation_rate,accepted_fraction
In domain,No gate,1,0.05371099694632672,0.02978286209152711,1.0
In domain,Variance gate,1,0.05263677700740019,0.028591547607866023,0.99
In domain,Full gate,1,0.05156255706847365,0.025911090019628585,0.9363028178088089
In domain,No gate,2,0.057703399776232435,0.03254231820051905,1.0
In domain,Variance gate,2,0.056549331780707784,0.03124062547249829,0.99
In domain,Full gate,2,0.055395263785183134,0.028311816834451577,0.9364468565330596
In domain,No gate,3,0.04357002601417957,0.03917660743780843,1.0
In domain,Variance gate,3,0.04269862549389598,0.03760954314029609,0.99
In domain,Full gate,3,0.04182722497361239,0.03408364847089333,0.9589160443181488
In domain,No gate,4,0.049249147265274434,0.03447655484077256,1.0
In domain,Variance gate,4,0.048264164319968945,0.03309749264714166,0.99
In domain,Full gate,4,0.047279181374663456,0.02999460271147213,0.9433915063444309
In domain,No gate,5,0.05909823697437082,0.018567862948953358,1.0
In domain,Variance gate,5,0.0579162722348834,0.01782514843099522,0.99
In domain,Full gate,5,0.056734307495395986,0.01615404076558942,0.9696786073384884
In domain,No gate,6,0.05473242873366361,0.03157599275047808,1.0
In domain,Variance gate,6,0.05363778015899034,0.030312953040458956,0.99
In domain,Full gate,6,0.05254313158431706,0.027471113692915928,0.9380905601070207
In domain,No gate,7,0.056002649584691956,0.016290549661339658,1.0
In domain,Variance gate,7,0.054882596592998115,0.01563892767488607,0.99
In domain,Full gate,7,0.05376254360130427,0.014172778205365503,0.99
In domain,No gate,8,0.06572500694769653,0.015031164492972121,1.0
In domain,Variance gate,8,0.0644105068087426,0.014429917913253236,0.99
In domain,Full gate,8,0.06309600666978867,0.013077113108885745,0.9669313271288457
In domain,No gate,9,0.05915100688692168,0.018475114692041827,1.0
In domain,Variance gate,9,0.05796798674918325,0.017736110104360155,0.99
In domain,Full gate,9,0.05678496661144481,0.01607334978207639,0.9207663570954854
In domain,No gate,10,0.049031692027403324,0.03153814777906768,1.0
In domain,Variance gate,10,0.048051058186855254,0.030276621867904974,0.99
In domain,Full gate,10,0.04707042434630719,0.02743818856778888,0.9619365553534075
In domain,No gate,11,0.04877196221264078,0.026954615397654483,1.0
In domain,Variance gate,11,0.04779652296838797,0.025876430781748304,0.99
In domain,Full gate,11,0.04682108372413515,0.0234505153959594,0.9514863175664766
In domain,No gate,12,0.04559908610037635,0.020329637200198574,1.0
In domain,Variance gate,12,0.04468710437836882,0.01951645171219063,0.99
In domain,Full gate,12,0.04377512265636129,0.01768678436417276,0.9702199062624879
In domain,No gate,13,0.05237027354319087,0.028958573193175977,1.0
In domain,Variance gate,13,0.05132286807232705,0.027800230265448936,0.99
In domain,Full gate,13,0.05027546260146323,0.0251939586780631,0.9257281256339535
In domain,No gate,14,0.05601431749302523,0.018644989758610123,1.0
