material_families,run,training_minutes,parameters_million,hv
1,1,19.281655666323218,2.9352050986695173,0.81218994624512
1,2,18.835393541968784,2.903048178042708,0.8230366276801132
1,3,18.12629900122478,2.8948463147880785,0.8270079848946441
1,4,16.798900904851653,2.8776302446396316,0.8203573806130916
1,5,17.954931460120406,2.903449223417009,0.8341662567492439
1,6,16.88877466975549,2.9110269802319233,0.8168593127524902
1,7,18.513768707150827,2.9237713888169354,0.8325132573184778
1,8,18.1964416953912,2.903970024966463,0.809448686272063
1,9,17.27936498142272,2.9055980910754466,0.8169526910206781
1,10,18.37559169582776,2.876795659681281,0.8258729587205459
1,11,17.810442578684665,2.911736889013411,0.8225237247414791
1,12,19.075051068199063,2.890863236793636,0.8267486982279154
1,13,19.065599143517247,2.9063223236299893,0.8220163346597134
1,14,17.26746856046611,2.887779919214537,0.8095086653006662
1,15,18.098870309182555,2.9106262275491313,0.8325347700684201
2,1,23.400679917760634,3.0988980269515842,0.832618404950221
2,2,26.26473847250853,3.0965970736402983,0.8311401434167731
2,3,24.803518483375438,3.1056779563072956,0.8318962132114341
2,4,25.340796770789012,3.099076848118809,0.829631757046941
2,5,25.727762365794643,3.0753893892911432,0.8373246705084517
2,6,22.827996683065344,3.037148871794023,0.8180469907142504
2,7,23.45426798639495,3.0864299224409635,0.8250555383059607
2,8,23.780046689700598,3.053229462033501,0.8265182187145478
2,9,25.943691521541787,3.0916415662481285,0.8411926424912409
2,10,25.72051009518316,3.0699860078157033,0.8381113115728095
2,11,24.043296291877777,3.0536787726326518,0.8332712230793299
2,12,25.40738276632285,3.080339054268372,0.8411321765193089
2,13,24.740693422471878,3.0919937656343524,0.8359486448431465
2,14,24.258816412628637,3.118820446200849,0.8325198952319532
2,15,24.70731534027226,3.0869313832753846,0.8406559176815385
3,1,30.9294795873494,3.2928735287850786,0.840133655708699
3,2,30.801466447008366,3.2205582633421983,0.8318293540310945
3,3,30.24720159242849,3.2502851299274833,0.841844153258388
3,4,30.88421860894679,3.287396858459174,0.8202456033783081
3,5,30.543616842521445,3.29050290346428,0.8394157427354657
3,6,31.50095107097385,3.2629614924044845,0.8361012004890443
3,7,30.291168172352055,3.2617614086384155,0.8390835395182972
3,8,30.9284512592556,3.259409439870334,0.8498651383683361
3,9,31.35272616228989,3.3330220568983435,0.8324961741350836
3,10,31.28951082484758,3.301143957960042,0.8399093713939525
3,11,30.85767479459151,3.2123978776828443,0.8557905719818056
3,12,31.56663078815344,3.289058248401643,0.8142093910961486
3,13,29.473663370253792,3.2338305308228215,0.8323596474999168
3,14,30.93960344518548,3.2677581444116304,0.8438916552342581
3,15,30.541930704626846,3.328011916956138,0.8352964198903772
4,1,37.87821109687165,3.4529440943717877,0.8316038878071585
4,2,36.30885901915732,3.459524858187384,0.8581072869912272
4,3,37.53340230176705,3.4050228097529347,0.8454857075385735
4,4,37.791219860640076,3.4900615488715583,0.8614511527563654
4,5,37.51062780262225,3.462342258492275,0.833014235346397
4,6,37.90663573015856,3.455548294303302,0.8499598144885467
4,7,37.09368152432771,3.465056410912456,0.8497699507405053
4,8,35.85712813364475,3.4713667132261743,0.8529249533932621
4,9,36.5807000943896,3.4790069374110137,0.8512344614461894
4,10,38.47027662884699,3.4810506655308004,0.8513064494988597
4,11,38.053794616183474,3.442416909619169,0.835975108638227
4,12,38.512580403582355,3.510455154367135,0.8505806041564603
4,13,37.67962291649623,3.447166418326658,0.8377693380051696
4,14,37.48806218899274,3.473301959016465,0.854456555035548
4,15,37.15641045232679,3.465567399234039,0.8526903262993234
5,1,43.69737318579315,3.658997406791603,0.8540962563861499
5,2,42.959395961976824,3.6487707954785864,0.8501591436881396
5,3,43.705645436365735,3.6475215873801705,0.850804713722003
5,4,43.458194308527105,3.631514445917377,0.8541269986004828
5,5,43.43468024013262,3.6114288219833486,0.8526499361500325
5,6,42.96765861135651,3.6567916880174556,0.8328526816429194
5,7,43.04988708233471,3.6451312150669155,0.8387898434587515
5,8,44.2110273666991,3.686077472351027,0.8497574326282534
5,9,43.89347077909218,3.664154993641867,0.8377338272169096
5,10,42.655366469909715,3.648878923137941,0.8553561675823913
5,11,44.39830841377162,3.642854532385054,0.862048963982638
5,12,43.92621046016731,3.6441742459325637,0.8382650373121845
5,13,44.34675049348398,3.677511823659621,0.8551929559567049
5,14,43.01158001031102,3.685118955103203,0.8495121119784403
5,15,43.2828242951783,3.678284998981287,0.8541156421007225
6,1,48.5919631000157,3.8610529150277224,0.8544367497736293
6,2,49.36286970061739,3.867129723041856,0.8551494264415589
6,3,48.76915822971951,3.8558834044312817,0.8449714352629948
6,4,48.336807431746976,3.835429879590641,0.8542895079925502
6,5,48.31025300337935,3.8684759916698184,0.8528981401484287
6,6,48.89497584356442,3.8808268175980514,0.8522090876737306
6,7,48.532256643502016,3.819638715932192,0.8646321088214065
6,8,48.70592281000143,3.858382528524465,0.8429687395928045
6,9,48.432201046020644,3.791061548690398,0.8565463228357935
6,10,48.09930874634922,3.850318255702559,0.8493646465965867
6,11,48.508247928470894,3.8610174773349932,0.8489993073709018
6,12,48.68553405817382,3.88100987317623,0.855310432596104
6,13,47.54914004950183,3.8818196862457466,0.866335724780307
6,14,50.213343281126825,3.779114593171461,0.8451261967928562
6,15,48.326198209003486,3.7777859072699025,0.8542451791568079
